data,genere,regista,anno,durata,eta,costo
"2027-12-29 16:00","Good Will Hunting",Drama,"Gus Van Sant",1997,126,0,8.5
"2027-12-29 12:30","The Best Years of Our Lives",Drama,"William Wyler",1946,170,12,8.5
"2027-12-29 10:00","To Have and Have Not",Adventure,"Howard Hawks",1944,100,6,8.0
"2027-12-28 15:30","Blue Velvet",Drama,"David Lynch",1986,120,12,7.5
"2027-12-28 13:00","The Philadelphia Story",Comedy,"George Cukor",1940,112,12,8.5
"2027-12-28 10:00","Good Will Hunting",Drama,"Gus Van Sant",1997,126,0,6.5
"2027-12-27 14:00","The Blues Brothers",Action,"John Landis",1980,133,0,8.5
"2027-12-27 10:30","The Bridge on the River Kwai",Adventure,"David Lean",1957,161,6,7.5
"2027-12-26 19:30","Good Will Hunting",Drama,"Gus Van Sant",1997,126,0,10.0
"2027-12-26 16:00","The Bridge on the River Kwai",Adventure,"David Lean",1957,161,6,8.5
"2027-12-26 13:00","Good Will Hunting",Drama,"Gus Van Sant",1997,126,0,8.5
"2027-12-26 10:00","Blue Velvet",Drama,"David Lynch",1986,120,12,7.5
"2027-12-25 22:00","The Best Years of Our Lives",Drama,"William Wyler",1946,170,12,10.0
"2027-12-25 18:00","Gandhi",Biography,"Richard Attenborough",1982,191,0,9.0
"2027-12-25 14:30","The Lord of the Rings: The Fellowship of the Ring",Action,"Peter Jackson",2001,178,0,7.0
"2027-12-25 10:30","The Lord of the Rings: The Fellowship of the Ring",Action,"Peter Jackson",2001,178,0,8.0
"2027-12-24 13:30","Misery",Drama,"Rob Reiner",1990,107,16,8.0
"2027-12-24 10:30","The Treasure of the Sierra Madre",Adventure,"John Huston",1948,126,12,8.5
"2027-12-23 10:00","The Hurricane",Biography,"Norman Jewison",1999,146,16,8.5
"2027-12-22 17:00","C.R.A.Z.Y.",Comedy,"Jean-Marc Vallée",2005,129,12,8.0
"2027-12-22 14:30","Misery",Drama,"Rob Reiner",1990,107,16,7.5
"2027-12-22 10:30","Veer-Zaara",Drama,"Yash Chopra",2004,192,0,7.5
"2027-12-21 16:00","Primal Fear",Crime,"Gregory Hoblit",1996,129,12,7.0
"2027-12-21 13:00","The Blues Brothers",Action,"John Landis",1980,133,0,8.0
"2027-12-21 10:00","Blue Velvet",Drama,"David Lynch",1986,120,12,7.5
"2027-12-20 13:30","Donnie Darko",Drama,"Richard Kelly",2001,113,16,7.0
"2027-12-20 10:30","Star Trek II: The Wrath of Khan",Action,"Nicholas Meyer",1982,113,0,8.0
"2027-12-19 16:00","The Silence of the Lambs",Crime,"Jonathan Demme",1991,118,12,7.5
"2027-12-19 13:00","Philadelphia",Drama,"Jonathan Demme",1993,125,12,8.5
"2027-12-19 10:00","Primal Fear",Crime,"Gregory Hoblit",1996,129,12,8.0
"2027-12-18 16:30","The Maltese Falcon",Film-Noir,"John Huston",1941,100,12,8.0
"2027-12-18 13:30","The Blues Brothers",Action,"John Landis",1980,133,0,8.0
"2027-12-18 10:30","C.R.A.Z.Y.",Comedy,"Jean-Marc Vallée",2005,129,12,6.5
"2027-12-17 10:00","Primal Fear",Crime,"Gregory Hoblit",1996,129,12,7.5
"2027-12-16 15:00","Cape Fear",Drama,"J. Lee Thompson",1962,106,12,8.0
"2027-12-16 10:30","Shichinin no samurai",Action,"Akira Kurosawa",1954,207,0,6.5
"2027-12-15 16:00","American Psycho",Comedy,"Mary Harron",2000,101,12,8.0
"2027-12-15 13:30","The Others",Horror,"Alejandro Amenábar",2001,101,12,8.0
"2027-12-15 10:30","Blue Velvet",Drama,"David Lynch",1986,120,12,7.5
"2027-12-14 10:30","Fight Club",Drama,"David Fincher",1999,139,12,6.5
"2027-12-13 15:30","American Psycho",Comedy,"Mary Harron",2000,101,12,6.5
"2027-12-13 12:30","The Treasure of the Sierra Madre",Adventure,"John Huston",1948,126,12,8.0
"2027-12-13 10:00","Kurenai no buta",Animation,"Hayao Miyazaki",1992,94,0,7.0
"2027-12-12 18:00","Shichinin no samurai",Action,"Akira Kurosawa",1954,207,0,8.5
"2027-12-12 15:30","To Have and Have Not",Adventure,"Howard Hawks",1944,100,6,8.0
"2027-12-12 13:00","Withnail & I",Comedy,"Bruce Robinson",1987,107,16,6.5
"2027-12-12 10:30","The Maltese Falcon",Film-Noir,"John Huston",1941,100,12,8.0
"2027-12-11 19:00","Fight Club",Drama,"David Fincher",1999,139,12,10.0
"2027-12-11 16:30","Reservoir Dogs",Crime,"Quentin Tarantino",1992,99,16,8.5
